00001:Phường Phúc Xá, Quận Ba Đình, Thành phố Hà Nội
00253:Phường Ngô Thì Nhậm, Quận Hai Bà Trưng, Thành phố Hà Nội
00256:Phường Lê Đại Hành, Quận Hai Bà Trưng, Thành phố Hà Nội
00259:Phường Đồng Nhân, Quận Hai Bà Trưng, Thành phố Hà Nội
00262:Phường Phố Huế, Quận Hai Bà Trưng, Thành phố Hà Nội
00265:Phường Đống Mác, Quận Hai Bà Trưng, Thành phố Hà Nội
00268:Phường Thanh Lương, Quận Hai Bà Trưng, Thành phố Hà Nội
00271:Phường Thanh Nhàn, Quận Hai Bà Trưng, Thành phố Hà Nội
00274:Phường Cầu Dền, Quận Hai Bà Trưng, Thành phố Hà Nội
00277:Phường Bách Khoa, Quận Hai Bà Trưng, Thành phố Hà Nội
00280:Phường Đồng Tâm, Quận Hai Bà Trưng, Thành phố Hà Nội
00283:Phường Vĩnh Tuy, Quận Hai Bà Trưng, Thành phố Hà Nội
00286:Phường Bạch Mai, Quận Hai Bà Trưng, Thành phố Hà Nội
00289:Phường Quỳnh Mai, Quận Hai Bà Trưng, Thành phố Hà Nội
00292:Phường Quỳnh Lôi, Quận Hai Bà Trưng, Thành phố Hà Nội
00295:Phường Minh Khai, Quận Hai Bà Trưng, Thành phố Hà Nội
00298:Phường Trương Định, Quận Hai Bà Trưng, Thành phố Hà Nội
00301:Phường Thanh Trì, Quận Hoàng Mai, Thành phố Hà Nội
00304:Phường Vĩnh Hưng, Quận Hoàng Mai, Thành phố Hà Nội
00307:Phường Định Công, Quận Hoàng Mai, Thành phố Hà Nội
00310:Phường Mai Động, Quận Hoàng Mai, Thành phố Hà Nội
00313:Phường Tương Mai, Quận Hoàng Mai, Thành phố Hà Nội
00316:Phường Đại Kim, Quận Hoàng Mai, Thành phố Hà Nội
00319:Phường Tân Mai, Quận Hoàng Mai, Thành phố Hà Nội
00322:Phường Hoàng Văn Thụ, Quận Hoàng Mai, Thành phố Hà Nội
00325:Phường Giáp Bát, Quận Hoàng Mai, Thành phố Hà Nội
00328:Phường Lĩnh Nam, Quận Hoàng Mai, Thành phố Hà Nội
00331:Phường Thịnh Liệt, Quận Hoàng Mai, Thành phố Hà Nội
00334:Phường Trần Phú, Quận Hoàng Mai, Thành phố Hà Nội
00337:Phường Hoàng Liệt, Quận Hoàng Mai, Thành phố Hà Nội
00340:Phường Yên Sở, Quận Hoàng Mai, Thành phố Hà Nội
00343:Phường Nhân Chính, Quận Thanh Xuân, Thành phố Hà Nội
00346:Phường Thượng Đình, Quận Thanh Xuân, Thành phố Hà Nội
00349:Phường Khương Trung, Quận Thanh Xuân, Thành phố Hà Nội
00352:Phường Khương Mai, Quận Thanh Xuân, Thành phố Hà Nội
00355:Phường Thanh Xuân Trung, Quận Thanh Xuân, Thành phố Hà Nội
00358:Phường Phương Liệt, Quận Thanh Xuân, Thành phố Hà Nội
00361:Phường Hạ Đình, Quận Thanh Xuân, Thành phố Hà Nội
00364:Phường Khương Đình, Quận Thanh Xuân, Thành phố Hà Nội
00367:Phường Thanh Xuân Bắc, Quận Thanh Xuân, Thành phố Hà Nội
00370:Phường Thanh Xuân Nam, Quận Thanh Xuân, Thành phố Hà Nội
00373:Phường Kim Giang, Quận Thanh Xuân, Thành phố Hà Nội
00376:Thị trấn Sóc Sơn, Huyện Sóc Sơn, Thành phố Hà Nội
00379:Xã Bắc Sơn, Huyện Sóc Sơn, Thành phố Hà Nội
00382:Xã Minh Trí, Huyện Sóc Sơn, Thành phố Hà Nội
00385:Xã Hồng Kỳ, Huyện Sóc Sơn, Thành phố Hà Nội
00388:Xã Nam Sơn, Huyện Sóc Sơn, Thành phố Hà Nội
00391:Xã Trung Giã, Huyện Sóc Sơn, Thành phố Hà Nội
00394:Xã Tân Hưng, Huyện Sóc Sơn, Thành phố Hà Nội
00397:Xã Minh Phú, Huyện Sóc Sơn, Thành phố Hà Nội
00400:Xã Phù Linh, Huyện Sóc Sơn, Thành phố Hà Nội
00403:Xã Bắc Phú, Huyện Sóc Sơn, Thành phố Hà Nội
00406:Xã Tân Minh, Huyện Sóc Sơn, Thành phố Hà Nội
00409:Xã Quang Tiến, Huyện Sóc Sơn, Thành phố Hà Nội
00412:Xã Hiền Ninh, Huyện Sóc Sơn, Thành phố Hà Nội
00415:Xã Tân Dân, Huyện Sóc Sơn, Thành phố Hà Nội
00418:Xã Tiên Dược, Huyện Sóc Sơn, Thành phố Hà Nội
00421:Xã Việt Long, Huyện Sóc Sơn, Thành phố Hà Nội
00424:Xã Xuân Giang, Huyện Sóc Sơn, Thành phố Hà Nội
00427:Xã Mai Đình, Huyện Sóc Sơn, Thành phố Hà Nội
00430:Xã Đức Hoà, Huyện Sóc Sơn, Thành phố Hà Nội
00433:Xã Thanh Xuân, Huyện Sóc Sơn, Thành phố Hà Nội
00436:Xã Đông Xuân, Huyện Sóc Sơn, Thành phố Hà Nội
00439:Xã Kim Lũ, Huyện Sóc Sơn, Thành phố Hà Nội
00442:Xã Phú Cường, Huyện Sóc Sơn, Thành phố Hà Nội
00445:Xã Phú Minh, Huyện Sóc Sơn, Thành phố Hà Nội
00448:Xã Phù Lỗ, Huyện Sóc Sơn, Thành phố Hà Nội
00451:Xã Xuân Thu, Huyện Sóc Sơn, Thành phố Hà Nội
00454:Thị trấn Đông Anh, Huyện Đông Anh, Thành phố Hà Nội
00457:Xã Xuân Nộn, Huyện Đông Anh, Thành phố Hà Nội
00460:Xã Thuỵ Lâm, Huyện Đông Anh, Thành phố Hà Nội
00463:Xã Bắc Hồng, Huyện Đông Anh, Thành phố Hà Nội
00466:Xã Nguyên Khê, Huyện Đông Anh, Thành phố Hà Nội
00469:Xã Nam Hồng, Huyện Đông Anh, Thành phố Hà Nội
00472:Xã Tiên Dương, Huyện Đông Anh, Thành phố Hà Nội
00475:Xã Vân Hà, Huyện Đông Anh, Thành phố Hà Nội
00478:Xã Uy Nỗ, Huyện Đông Anh, Thành phố Hà Nội
00481:Xã Vân Nội, Huyện Đông Anh, Thành phố Hà Nội
00484:Xã Liên Hà, Huyện Đông Anh, Thành phố Hà Nội
00487:Xã Việt Hùng, Huyện Đông Anh, Thành phố Hà Nội
00490:Xã Kim Nỗ, Huyện Đông Anh, Thành phố Hà Nội
00493:Xã Kim Chung, Huyện Đông Anh, Thành phố Hà Nội
00496:Xã Dục Tú, Huyện Đông Anh, Thành phố Hà Nội
00499:Xã Đại Mạch, Huyện Đông Anh, Thành phố Hà Nội
00502:Xã Vĩnh Ngọc, Huyện Đông Anh, Thành phố Hà Nội
00505:Xã Cổ Loa, Huyện Đông Anh, Thành phố Hà Nội
00508:Xã Hải Bối, Huyện Đông Anh, Thành phố Hà Nội
00511:Xã Xuân Canh, Huyện Đông Anh, Thành phố Hà Nội
00514:Xã Võng La, Huyện Đông Anh, Thành phố Hà Nội
00517:Xã Tàm Xá, Huyện Đông Anh, Thành phố Hà Nội
00520:Xã Mai Lâm, Huyện Đông Anh, Thành phố Hà Nội
00523:Xã Đông Hội, Huyện Đông Anh, Thành phố Hà Nội
00526:Thị trấn Yên Viên, Huyện Gia Lâm, Thành phố Hà Nội
00529:Xã Yên Thường, Huyện Gia Lâm, Thành phố Hà Nội
00532:Xã Yên Viên, Huyện Gia Lâm, Thành phố Hà Nội
00535:Xã Ninh Hiệp, Huyện Gia Lâm, Thành phố Hà Nội
00538:Xã Đình Xuyên, Huyện Gia Lâm, Thành phố Hà Nội
00541:Xã Dương Hà, Huyện Gia Lâm, Thành phố Hà Nội
00544:Xã Phù Đổng, Huyện Gia Lâm, Thành phố Hà Nội
00547:Xã Trung Mầu, Huyện Gia Lâm, Thành phố Hà Nội
00550:Xã Lệ Chi, Huyện Gia Lâm, Thành phố Hà Nội
00553:Xã Cổ Bi, Huyện Gia Lâm, Thành phố Hà Nội
00556:Xã Đặng Xá, Huyện Gia Lâm, Thành phố Hà Nội
00559:Xã Phú Thị, Huyện Gia Lâm, Thành phố Hà Nội
00562:Xã Kim Sơn, Huyện Gia Lâm, Thành phố Hà Nội
00565:Thị trấn Trâu Quỳ, Huyện Gia Lâm, Thành phố Hà Nội
00568:Xã Dương Quang, Huyện Gia Lâm, Thành phố Hà Nội
00571:Xã Dương Xá, Huyện Gia Lâm, Thành phố Hà Nội
00574:Xã Đông Dư, Huyện Gia Lâm, Thành phố Hà Nội
00577:Xã Đa Tốn, Huyện Gia Lâm, Thành phố Hà Nội
00580:Xã Kiêu Kỵ, Huyện Gia Lâm, Thành phố Hà Nội
00583:Xã Bát Tràng, Huyện Gia Lâm, Thành phố Hà Nội
00586:Xã Kim Lan, Huyện Gia Lâm, Thành phố Hà Nội
00589:Xã Văn Đức, Huyện Gia Lâm, Thành phố Hà Nội
00592:Phường Cầu Diễn, Quận Nam Từ Liêm, Thành phố Hà Nội
00622:Phường Xuân Phương, Quận Nam Từ Liêm, Thành phố Hà Nội
00623:Phường Phương Canh, Quận Nam Từ Liêm, Thành phố Hà Nội
00625:Phường Mỹ Đình 1, Quận Nam Từ Liêm, Thành phố Hà Nội
00626:Phường Mỹ Đình 2, Quận Nam Từ Liêm, Thành phố Hà Nội
00628:Phường Tây Mỗ, Quận Nam Từ Liêm, Thành phố Hà Nội
00631:Phường Mễ Trì, Quận Nam Từ Liêm, Thành phố Hà Nội
00632:Phường Phú Đô, Quận Nam Từ Liêm, Thành phố Hà Nội
00634:Phường Đại Mỗ, Quận Nam Từ Liêm, Thành phố Hà Nội
00637:Phường Trung Văn, Quận Nam Từ Liêm, Thành phố Hà Nội
00640:Thị trấn Văn Điển, Huyện Thanh Trì, Thành phố Hà Nội
00643:Xã Tân Triều, Huyện Thanh Trì, Thành phố Hà Nội
00646:Xã Thanh Liệt, Huyện Thanh Trì, Thành phố Hà Nội
00649:Xã Tả Thanh Oai, Huyện Thanh Trì, Thành phố Hà Nội
00652:Xã Hữu Hoà, Huyện Thanh Trì, Thành phố Hà Nội
00655:Xã Tam Hiệp, Huyện Thanh Trì, Thành phố Hà Nội
00658:Xã Tứ Hiệp, Huyện Thanh Trì, Thành phố Hà Nội
00661:Xã Yên Mỹ, Huyện Thanh Trì, Thành phố Hà Nội
00664:Xã Vĩnh Quỳnh, Huyện Thanh Trì, Thành phố Hà Nội
00667:Xã Ngũ Hiệp, Huyện Thanh Trì, Thành phố Hà Nội
00670:Xã Duyên Hà, Huyện Thanh Trì, Thành phố Hà Nội
00673:Xã Ngọc Hồi, Huyện Thanh Trì, Thành phố Hà Nội
00676:Xã Vạn Phúc, Huyện Thanh Trì, Thành phố Hà Nội
00679:Xã Đại áng, Huyện Thanh Trì, Thành phố Hà Nội
00682:Xã Liên Ninh, Huyện Thanh Trì, Thành phố Hà Nội
00685:Xã Đông Mỹ, Huyện Thanh Trì, Thành phố Hà Nội
00595:Phường Thượng Cát, Quận Bắc Từ Liêm, Thành phố Hà Nội
00598:Phường Liên Mạc, Quận Bắc Từ Liêm, Thành phố Hà Nội
00601:Phường Đông Ngạc, Quận Bắc Từ Liêm, Thành phố Hà Nội
00602:Phường Đức Thắng, Quận Bắc Từ Liêm, Thành phố Hà Nội
00604:Phường Thụy Phương, Quận Bắc Từ Liêm, Thành phố Hà Nội
00607:Phường Tây Tựu, Quận Bắc Từ Liêm, Thành phố Hà Nội
00610:Phường Xuân Đỉnh, Quận Bắc Từ Liêm, Thành phố Hà Nội
00611:Phường Xuân Tảo, Quận Bắc Từ Liêm, Thành phố Hà Nội
00613:Phường Minh Khai, Quận Bắc Từ Liêm, Thành phố Hà Nội
00616:Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Thành phố Hà Nội
00617:Phường Cổ Nhuế 2, Quận Bắc Từ Liêm, Thành phố Hà Nội
00619:Phường Phú Diễn, Quận Bắc Từ Liêm, Thành phố Hà Nội
00620:Phường Phúc Diễn, Quận Bắc Từ Liêm, Thành phố Hà Nội
08973:Thị trấn Chi Đông, Huyện Mê Linh, Thành phố Hà Nội
08974:Xã Đại Thịnh, Huyện Mê Linh, Thành phố Hà Nội
08977:Xã Kim Hoa, Huyện Mê Linh, Thành phố Hà Nội
08980:Xã Thạch Đà, Huyện Mê Linh, Thành phố Hà Nội
08983:Xã Tiến Thắng, Huyện Mê Linh, Thành phố Hà Nội
08986:Xã Tự Lập, Huyện Mê Linh, Thành phố Hà Nội
08989:Thị trấn Quang Minh, Huyện Mê Linh, Thành phố Hà Nội
08992:Xã Thanh Lâm, Huyện Mê Linh, Thành phố Hà Nội
08995:Xã Tam Đồng, Huyện Mê Linh, Thành phố Hà Nội
08998:Xã Liên Mạc, Huyện Mê Linh, Thành phố Hà Nội
09001:Xã Vạn Yên, Huyện Mê Linh, Thành phố Hà Nội
09004:Xã Chu Phan, Huyện Mê Linh, Thành phố Hà Nội
09007:Xã Tiến Thịnh, Huyện Mê Linh, Thành phố Hà Nội
09010:Xã Mê Linh, Huyện Mê Linh, Thành phố Hà Nội
09013:Xã Văn Khê, Huyện Mê Linh, Thành phố Hà Nội
09016:Xã Hoàng Kim, Huyện Mê Linh, Thành phố Hà Nội
09019:Xã Tiền Phong, Huyện Mê Linh, Thành phố Hà Nội
09022:Xã Tráng Việt, Huyện Mê Linh, Thành phố Hà Nội
09538:Phường Nguyễn Trãi, Quận Hà Đông, Thành phố Hà Nội
09541:Phường Mộ Lao, Quận Hà Đông, Thành phố Hà Nội
09542:Phường Văn Quán, Quận Hà Đông, Thành phố Hà Nội
09544:Phường Vạn Phúc, Quận Hà Đông, Thành phố Hà Nội
09547:Phường Yết Kiêu, Quận Hà Đông, Thành phố Hà Nội
09550:Phường Quang Trung, Quận Hà Đông, Thành phố Hà Nội
09551:Phường La Khê, Quận Hà Đông, Thành phố Hà Nội
09552:Phường Phú La, Quận Hà Đông, Thành phố Hà Nội
09553:Phường Phúc La, Quận Hà Đông, Thành phố Hà Nội
09556:Phường Hà Cầu, Quận Hà Đông, Thành phố Hà Nội
09562:Phường Yên Nghĩa, Quận Hà Đông, Thành phố Hà Nội
09565:Phường Kiến Hưng, Quận Hà Đông, Thành phố Hà Nội
09568:Phường Phú Lãm, Quận Hà Đông, Thành phố Hà Nội
09571:Phường Phú Lương, Quận Hà Đông, Thành phố Hà Nội
09886:Phường Dương Nội, Quận Hà Đông, Thành phố Hà Nội
10117:Phường Đồng Mai, Quận Hà Đông, Thành phố Hà Nội
10123:Phường Biên Giang, Quận Hà Đông, Thành phố Hà Nội
09574:Phường Lê Lợi, Thị xã Sơn Tây, Thành phố Hà Nội
09577:Phường Phú Thịnh, Thị xã Sơn Tây, Thành phố Hà Nội
09580:Phường Ngô Quyền, Thị xã Sơn Tây, Thành phố Hà Nội
09583:Phường Quang Trung, Thị xã Sơn Tây, Thành phố Hà Nội
09586:Phường Sơn Lộc, Thị xã Sơn Tây, Thành phố Hà Nội
09589:Phường Xuân Khanh, Thị xã Sơn Tây, Thành phố Hà Nội
09592:Xã Đường Lâm, Thị xã Sơn Tây, Thành phố Hà Nội
09595:Phường Viên Sơn, Thị xã Sơn Tây, Thành phố Hà Nội
09598:Xã Xuân Sơn, Thị xã Sơn Tây, Thành phố Hà Nội
09601:Phường Trung Hưng, Thị xã Sơn Tây, Thành phố Hà Nội
09604:Xã Thanh Mỹ, Thị xã Sơn Tây, Thành phố Hà Nội
09607:Phường Trung Sơn Trầm, Thị xã Sơn Tây, Thành phố Hà Nội
09610:Xã Kim Sơn, Thị xã Sơn Tây, Thành phố Hà Nội
09613:Xã Sơn Đông, Thị xã Sơn Tây, Thành phố Hà Nội
09616:Xã Cổ Đông, Thị xã Sơn Tây, Thành phố Hà Nội
09619:Thị trấn Tây Đằng, Huyện Ba Vì, Thành phố Hà Nội
09625:Xã Phú Cường, Huyện Ba Vì, Thành phố Hà Nội
09628:Xã Cổ Đô, Huyện Ba Vì, Thành phố Hà Nội
09631:Xã Tản Hồng, Huyện Ba Vì, Thành phố Hà Nội
09634:Xã Vạn Thắng, Huyện Ba Vì, Thành phố Hà Nội
09637:Xã Châu Sơn, Huyện Ba Vì, Thành phố Hà Nội
09640:Xã Phong Vân, Huyện Ba Vì, Thành phố Hà Nội
09643:Xã Phú Đông, Huyện Ba Vì, Thành phố Hà Nội
09646:Xã Phú Phương, Huyện Ba Vì, Thành phố Hà Nội
09649:Xã Phú Châu, Huyện Ba Vì, Thành phố Hà Nội
09652:Xã Thái Hòa, Huyện Ba Vì, Thành phố Hà Nội
09655:Xã Đồng Thái, Huyện Ba Vì, Thành phố Hà Nội
09658:Xã Phú Sơn, Huyện Ba Vì, Thành phố Hà Nội
09661:Xã Minh Châu, Huyện Ba Vì, Thành phố Hà Nội
09664:Xã Vật Lại, Huyện Ba Vì, Thành phố Hà Nội
09667:Xã Chu Minh, Huyện Ba Vì, Thành phố Hà Nội
09670:Xã Tòng Bạt, Huyện Ba Vì, Thành phố Hà Nội
09673:Xã Cẩm Lĩnh, Huyện Ba Vì, Thành phố Hà Nội
09676:Xã Sơn Đà, Huyện Ba Vì, Thành phố Hà Nội
09679:Xã Đông Quang, Huyện Ba Vì, Thành phố Hà Nội
09682:Xã Tiên Phong, Huyện Ba Vì, Thành phố Hà Nội
09685:Xã Thụy An, Huyện Ba Vì, Thành phố Hà Nội
09688:Xã Cam Thượng, Huyện Ba Vì, Thành phố Hà Nội
09691:Xã Thuần Mỹ, Huyện Ba Vì, Thành phố Hà Nội
09694:Xã Tản Lĩnh, Huyện Ba Vì, Thành phố Hà Nội
09697:Xã Ba Trại, Huyện Ba Vì, Thành phố Hà Nội
09700:Xã Minh Quang, Huyện Ba Vì, Thành phố Hà Nội
09703:Xã Ba Vì, Huyện Ba Vì, Thành phố Hà Nội
09706:Xã Vân Hòa, Huyện Ba Vì, Thành phố Hà Nội
09709:Xã Yên Bài, Huyện Ba Vì, Thành phố Hà Nội
09712:Xã Khánh Thượng, Huyện Ba Vì, Thành phố Hà Nội
09715:Thị trấn Phúc Thọ, Huyện Phúc Thọ, Thành phố Hà Nội
09718:Xã Vân Hà, Huyện Phúc Thọ, Thành phố Hà Nội
09721:Xã Vân Phúc, Huyện Phúc Thọ, Thành phố Hà Nội
09724:Xã Vân Nam, Huyện Phúc Thọ, Thành phố Hà Nội
09727:Xã Xuân Phú, Huyện Phúc Thọ, Thành phố Hà Nội
09730:Xã Phương Độ, Huyện Phúc Thọ, Thành phố Hà Nội
09733:Xã Sen Chiểu, Huyện Phúc Thọ, Thành phố Hà Nội
09736:Xã Cẩm Đình, Huyện Phúc Thọ, Thành phố Hà Nội
09739:Xã Võng Xuyên, Huyện Phúc Thọ, Thành phố Hà Nội
09742:Xã Thọ Lộc, Huyện Phúc Thọ, Thành phố Hà Nội
09745:Xã Long Xuyên, Huyện Phúc Thọ, Thành phố Hà Nội
09748:Xã Thượng Cốc, Huyện Phúc Thọ, Thành phố Hà Nội
09751:Xã Hát Môn, Huyện Phúc Thọ, Thành phố Hà Nội
09754:Xã Tích Giang, Huyện Phúc Thọ, Thành phố Hà Nội
09757:Xã Thanh Đa, Huyện Phúc Thọ, Thành phố Hà Nội
09760:Xã Trạch Mỹ Lộc, Huyện Phúc Thọ, Thành phố Hà Nội
09763:Xã Phúc Hòa, Huyện Phúc Thọ, Thành phố Hà Nội
09766:Xã Ngọc Tảo, Huyện Phúc Thọ, Thành phố Hà Nội
09769:Xã Phụng Thượng, Huyện Phúc Thọ, Thành phố Hà Nội
09772:Xã Tam Thuấn, Huyện Phúc Thọ, Thành phố Hà Nội
09775:Xã Tam Hiệp, Huyện Phúc Thọ, Thành phố Hà Nội
09778:Xã Hiệp Thuận, Huyện Phúc Thọ, Thành phố Hà Nội
09781:Xã Liên Hiệp, Huyện Phúc Thọ, Thành phố Hà Nội
09784:Thị trấn Phùng, Huyện Đan Phượng, Thành phố Hà Nội
09787:Xã Trung Châu, Huyện Đan Phượng, Thành phố Hà Nội
09790:Xã Thọ An, Huyện Đan Phượng, Thành phố Hà Nội
09793:Xã Thọ Xuân, Huyện Đan Phượng, Thành phố Hà Nội
09796:Xã Hồng Hà, Huyện Đan Phượng, Thành phố Hà Nội
09799:Xã Liên Hồng, Huyện Đan Phượng, Thành phố Hà Nội
09802:Xã Liên Hà, Huyện Đan Phượng, Thành phố Hà Nội
09805:Xã Hạ Mỗ, Huyện Đan Phượng, Thành phố Hà Nội
09808:Xã Liên Trung, Huyện Đan Phượng, Thành phố Hà Nội
09811:Xã Phương Đình, Huyện Đan Phượng, Thành phố Hà Nội
09814:Xã Thượng Mỗ, Huyện Đan Phượng, Thành phố Hà Nội
09817:Xã Tân Hội, Huyện Đan Phượng, Thành phố Hà Nội
09820:Xã Tân Lập, Huyện Đan Phượng, Thành phố Hà Nội
09823:Xã Đan Phượng, Huyện Đan Phượng, Thành phố Hà Nội
09826:Xã Đồng Tháp, Huyện Đan Phượng, Thành phố Hà Nội
09829:Xã Song Phượng, Huyện Đan Phượng, Thành phố Hà Nội
09832:Thị trấn Trạm Trôi, Huyện Hoài Đức, Thành phố Hà Nội
09835:Xã Đức Thượng, Huyện Hoài Đức, Thành phố Hà Nội
09838:Xã Minh Khai, Huyện Hoài Đức, Thành phố Hà Nội
09841:Xã Dương Liễu, Huyện Hoài Đức, Thành phố Hà Nội
09844:Xã Di Trạch, Huyện Hoài Đức, Thành phố Hà Nội
